Date,Description,Amount
04/19/18,Buc-ees,$16
04/19/18,TheHomeDepot,$100
04/19/18,Cash Withdrawal,$200
04/18/18,Starbucks,$20
04/18/18,Subway,$15
04/18/18,Chick-fil-A,$42
04/17/18,Exxon,$38
04/17/18,BurlingtonStores,$102
04/17/18,Aldi,$318
04/16/18,BedBath&Beyond,$5
04/16/18,Mobil,$25
04/15/18,ChipotleMexicanGrill,$76
04/14/18,Hibachi,$46
04/14/18,GameStop,$50
04/13/18,Chevron,$38
04/12/18,Starbucks,$26
04/12/18,Nordstrom,$186
04/11/18,OfficeDepot,$57
04/11/18,Liberty Auto insurance,$116
04/11/18,Walmart ,$289
04/11/18,Salon,$30
04/11/18,Dominos Pizza,$48
04/11/18,Darden Restaurants,$23
04/11/18,McDonalds,$11.56
04/11/18,Wendys,$10.02
04/11/18,Amazon.com,$16.2
04/09/18,GameStop,$50
04/09/18,Macys,$32.18
04/08/18,Staples,$15
04/08/18,Costco,$50
04/08/18,WholeFoodsMarket,$50
04/07/18,PaneraBreadCompany,$28
04/05/18,Citgo,$35
04/05/18,Walmart ,$50
04/05/18,City Water-Sewer,$108
04/05/18,Darden Restaurants,$50
04/04/18,Chrysler Capital,$304.8
04/04/18,Electricity,$117
04/04/18,AT&TWireless,$120
04/02/18,CitiMortgage,"R1,900"
,March,
03/29/18,Citgo,$35
03/29/18,Salon,$180
03/29/18,Yellow Cab,$78
03/29/18,American Airlines,$520
03/29/18,BigLots,$30.00
03/29/18,Costco,$20
03/29/18,GameStop,$50.00
03/29/18,Amazon.com,$67.00
03/29/18,Dollar Tree,$16.03
03/29/18,Buc-ees,$5.00
03/27/18,Party City,$20
03/26/18,McDonalds,$12.88
03/26/18,Goodwill,$800.00
03/26/18,BurgerKing,$52.00
03/26/18,Dominos Pizza,$50
03/26/18,BestBuy,$35.00
03/25/18,Barnes&Noble,$56.00
03/24/18,Wendys,$17.00
03/21/18,Dollar General,$4.05
03/21/18,Walmart ,$110.00
03/20/18,Starbucks,$3.05
03/20/18,Citgo,$36
03/20/18,McDonalds,$12
03/19/18,Walmart ,$7.03
03/19/18,H&M,$88
03/19/18,Buc-ees,$16
03/19/18,TheHomeDepot,$100
03/19/18,Cash Withdrawal,$200
03/18/18,Starbucks,$20
03/18/18,Subway,$15
03/18/18,Chick-fil-A,$42
03/17/18,Exxon,$38
03/17/18,BurlingtonStores,$102
03/17/18,Aldi,$318
03/16/18,BedBath&Beyond,$5
03/16/18,Mobil,$25
03/15/18,ChipotleMexicanGrill,$76
03/14/18,Hibachi,$46
03/14/18,GameStop,$50
03/13/18,Chevron,$38
03/12/18,Starbucks,$26
03/12/18,Nordstrom,$186
03/11/18,OfficeDepot,$57
03/11/18,Liberty Auto insurance,$116
03/11/18,Walmart ,$289
03/11/18,Salon,$30
03/11/18,Dominos Pizza,$48
03/11/18,Darden Restaurants,$23
03/11/18,McDonalds,$11.56
03/11/18,Wendys,$10.02
03/11/18,Amazon.com,$16.2
03/09/18,GameStop,$50
03/09/18,Macys,$32.18
03/08/18,Staples,$15
03/08/18,Costco,$50
03/08/18,WholeFoodsMarket,$50
03/07/18,PaneraBreadCompany,$28
03/05/18,Citgo,$35
03/05/18,Walmart ,$50
03/05/18,City Water-Sewer,$108
03/05/18,Darden Restaurants,$50
03/04/18,Chrysler Capital,$304.8
03/04/18,Electricity,$117
03/04/18,AT&TWireless,$120
03/04/18,CitiMortgage,$1900
,February,
02/27/18,Citgo,$35
02/27/18,Salon,$180
02/27/18,Yellow Cab,$78
02/27/18,American Airlines,$520
02/27/18,BigLots,$30.00
02/27/18,Costco,$20
02/27/18,GameStop,$50.00
02/27/18,Amazon.com,$67.00
02/27/18,Dollar Tree,$16.03
02/27/18,Buc-ees,$5.00
02/25/18,Party City,$20
02/24/18,McDonalds,$12.88
02/24/18,Goodwill,$800.00
02/24/18,BurgerKing,$52.00
02/24/18,Dominos Pizza,$50
02/24/18,BestBuy,$35.00
02/23/18,Barnes&Noble,$56.00
02/22/18,Wendys,$17.00
02/19/18,Dollar General,$4.05
02/19/18,Walmart ,$110.00
02/18/18,Starbucks,$3.05
02/18/18,Citgo,$36
02/18/18,McDonalds,$12
02/17/18,Walmart ,$7.03
02/17/18,H&M,$88
02/17/18,Buc-ees,$16
02/17/18,TheHomeDepot,$100
02/17/18,Cash Withdrawal,$200
02/16/18,Starbucks,$20
02/16/18,Subway,$15
02/16/18,Chick-fil-A,$42
02/15/18,Exxon,$38
02/15/18,BurlingtonStores,$102
02/15/18,Aldi,$318
02/14/18,BedBath&Beyond,$5
02/14/18,Mobil,$25
02/13/18,ChipotleMexicanGrill,$76
02/12/18,Hibachi,$46
02/12/18,GameStop,$50
02/11/18,Chevron,$38
02/10/18,Starbucks,$26
02/10/18,Nordstrom,$186
02/09/18,OfficeDepot,$57
02/09/18,Liberty Auto insurance,$116
02/09/18,Walmart ,$289
02/09/18,Salon,$30
02/09/18,Dominos Pizza,$48
02/09/18,Darden Restaurants,$23
02/09/18,McDonalds,$11.56
02/09/18,Wendys,$10.02
02/09/18,Amazon.com,$16.2
02/07/18,GameStop,$50
02/07/18,Macys,$32.18
02/06/18,Staples,$15
02/06/18,Costco,$50
02/06/18,WholeFoodsMarket,$50
02/05/18,PaneraBreadCompany,$28
02/03/18,Citgo,$35
02/03/18,Walmart ,$50
02/03/18,City Water-Sewer,$108
02/03/18,Darden Restaurants,$50
02/02/18,Chrysler Capital,$304.8
02/02/18,Electricity,R150
02/02/18,AT&TWireless,$120
02/02/18,CitiMortgage,$1900
,January,
01/28/18,Citgo,$35
01/28/18,Salon,$180
01/28/18,Yellow Cab,$78
01/28/18,American Airlines,$520
01/28/18,BigLots,$30.00
01/28/18,Costco,$20
01/28/18,GameStop,$50.00
01/28/18,Amazon.com,$67.00
01/28/18,Dollar Tree,$16.03
01/28/18,Buc-ees,$5.00
01/26/18,Party City,$20
01/25/18,McDonalds,$12.88
01/25/18,Goodwill,$800.00
01/25/18,BurgerKing,$52.00
01/25/18,Dominos Pizza,$50
01/25/18,BestBuy,$35.00
01/24/18,Barnes&Noble,$56.00
01/23/18,Wendys,$17.00
01/20/18,Dollar General,$4.05
01/20/18,Walmart ,$110.00
01/19/18,Starbucks,$3.05
01/19/18,Citgo,$36
01/19/18,McDonalds,$12
01/18/18,Walmart ,$7.03
01/18/18,H&M,$88
01/18/18,Buc-ees,$16
01/18/18,TheHomeDepot,$100
01/18/18,Cash Withdrawal,$200
01/17/18,Starbucks,$20
01/17/18,Subway,$15
01/17/18,Chick-fil-A,$42
01/16/18,Exxon,$38
01/16/18,BurlingtonStores,$102
01/16/18,Aldi,$318
01/15/18,BedBath&Beyond,$5
01/15/18,Mobil,$25
01/14/18,ChipotleMexicanGrill,$76
01/13/18,Hibachi,$46
01/13/18,GameStop,$50
01/12/18,Chevron,$38
01/11/18,Starbucks,$26
01/11/18,Nordstrom,$186
01/10/18,OfficeDepot,$57
01/10/18,Liberty Auto insurance,$116
01/10/18,Walmart ,$289
01/10/18,Salon,$30
01/10/18,Dominos Pizza,$48
01/10/18,Darden Restaurants,$23
01/10/18,McDonalds,$11.56
01/10/18,Wendys,$10.02
01/10/18,Amazon.com,$16.2
01/08/18,GameStop,$50
01/08/18,Macys,$32.18
01/07/18,Staples,$15
01/07/18,Costco,$50
01/07/18,WholeFoodsMarket,$50
01/06/18,PaneraBreadCompany,$28
01/04/18,Citgo,$35
01/04/18,Walmart ,$50
01/04/18,City Water-Sewer,$108
01/04/18,Darden Restaurants,$50
01/03/18,Chrysler Capital,$304.8
01/03/18,Electricity,$117
01/03/18,AT&TWireless,$120
01/03/18,CitiMortgage,$1900
,December,
12/29/17,Citgo,$35
12/29/17,Salon,$180
12/29/17,Yellow Cab,$78
12/29/17,American Airlines,$520
12/29/17,BigLots,$30.00
12/29/17,Costco,$20
12/29/17,GameStop,$50.00
12/29/17,Amazon.com,$67.00
12/29/17,Dollar Tree,$16.03
12/29/17,Buc-ees,$5.00
12/27/17,Party City,$20
12/26/17,McDonalds,$12.88
12/26/17,Goodwill,$800.00
12/26/17,BurgerKing,$52.00
12/26/17,Dominos Pizza,$50
12/26/17,BestBuy,$35.00
12/25/17,Barnes&Noble,$56.00
12/24/17,Wendys,$17.00
12/21/17,Dollar General,$4.05
12/21/17,Walmart ,$110.00
12/20/17,Starbucks,$3.05
12/20/17,Citgo,$36
12/20/17,McDonalds,$12
12/19/17,Walmart ,$7.03
12/19/17,H&M,$88
12/19/17,Buc-ees,$16
12/19/17,TheHomeDepot,$100
12/19/17,Cash Withdrawal,$200
12/18/17,Starbucks,$20
12/18/17,Subway,$15
12/18/17,Chick-fil-A,$42
12/17/17,Exxon,$38
12/17/17,BurlingtonStores,$102
12/17/17,Aldi,$318
12/16/17,BedBath&Beyond,$5
12/16/17,Mobil,$25
12/15/17,ChipotleMexicanGrill,$76
12/14/17,Hibachi,$46
12/14/17,GameStop,$50
12/13/17,Chevron,$38
12/12/17,Starbucks,$26
12/12/17,Nordstrom,$186
12/11/17,OfficeDepot,$57
12/11/17,Liberty Auto insurance,$116
12/11/17,Walmart ,$289
12/11/17,Salon,$30
12/11/17,Dominos Pizza,$48
12/11/17,Darden Restaurants,$23
12/11/17,McDonalds,$11.56
12/11/17,Wendys,$10.02
12/11/17,Amazon.com,$16.2
12/09/17,GameStop,$50
12/09/17,Macys,$32.18
12/08/17,Staples,$15
12/08/17,Costco,$50
12/08/17,WholeFoodsMarket,$50
12/07/17,PaneraBreadCompany,$28
12/05/17,Citgo,$35
12/05/17,Walmart ,$50
12/05/17,City Water-Sewer,$108
12/05/17,Darden Restaurants,$50
12/04/17,Chrysler Capital,$304.8
12/04/17,Electricity,$117
12/04/17,AT&TWireless,$120
12/04/17,CitiMortgage,$1900
,November,
11/29/17,Citgo,$35
11/29/17,Salon,$180
11/29/17,Yellow Cab,$78
11/29/17,American Airlines,$520
11/29/17,BigLots,$30.00
11/29/17,Costco,$20
11/29/17,GameStop,$50.00
11/29/17,Amazon.com,$67.00
11/29/17,Dollar Tree,$16.03
11/29/17,Buc-ees,$5.00
11/27/17,Party City,$20
11/26/17,McDonalds,$12.88
11/26/17,Goodwill,$800.00
11/26/17,BurgerKing,$52.00
11/26/17,Dominos Pizza,$50
11/26/17,BestBuy,$35.00
11/25/17,Barnes&Noble,$56.00
11/24/17,Wendys,$17.00
11/21/17,Dollar General,$4.05
11/21/17,Walmart ,$110.00
11/20/17,Starbucks,$3.05
11/20/17,Citgo,$36
11/20/17,McDonalds,$12
11/19/17,Walmart ,$7.03
11/19/17,H&M,$88
11/19/17,Buc-ees,$16
11/19/17,TheHomeDepot,$100
11/19/17,Cash Withdrawal,$200
11/18/17,Starbucks,$20
11/18/17,Subway,$15
11/18/17,Chick-fil-A,$42
11/17/17,Exxon,$38
11/17/17,BurlingtonStores,$102
11/17/17,Aldi,$318
11/16/17,BedBath&Beyond,$5
11/16/17,Mobil,$25
11/15/17,ChipotleMexicanGrill,$76
11/14/17,Hibachi,$46
11/14/17,GameStop,$50
11/13/17,Chevron,$38
11/12/17,Starbucks,$26
11/12/17,Nordstrom,$186
11/11/17,OfficeDepot,$57
11/11/17,Liberty Auto insurance,$116
11/11/17,Walmart ,$289
11/11/17,Salon,$30
11/11/17,Dominos Pizza,$48
11/11/17,Darden Restaurants,$23
11/11/17,McDonalds,$11.56
11/11/17,Wendys,$10.02
11/11/17,Amazon.com,$16.2
11/09/17,GameStop,$50
11/09/17,Macys,$32.18
11/08/17,Staples,$15
11/08/17,Costco,$50
11/08/17,WholeFoodsMarket,$50
11/07/17,PaneraBreadCompany,$28
11/05/17,Citgo,$35
11/05/17,Walmart ,$50
11/05/17,City Water-Sewer,$108
11/05/17,Darden Restaurants,$50
11/04/17,Chrysler Capital,$304.8
11/04/17,Electricity,$117
11/04/17,AT&TWireless,$120
11/04/17,CitiMortgage,$1900
,October,
10/30/17,Citgo,$35
10/30/17,Salon,$180
10/30/17,Yellow Cab,$78
10/30/17,American Airlines,$520
10/30/17,BigLots,$30.00
10/30/17,Costco,$20
10/30/17,GameStop,$50.00
10/30/17,Amazon.com,$67.00
10/30/17,Dollar Tree,$16.03
10/30/17,Buc-ees,$5.00
10/28/17,Party City,$20
10/27/17,McDonalds,$12.88
10/27/17,Goodwill,$800.00
10/27/17,BurgerKing,$52.00
10/27/17,Dominos Pizza,$50
10/27/17,BestBuy,$35.00
10/26/17,Barnes&Noble,$56.00
10/25/17,Wendys,$17.00
10/22/17,Dollar General,$4.05
10/22/17,Walmart ,$110.00
10/21/17,Starbucks,$3.05
10/21/17,Citgo,$36
10/21/17,McDonalds,$12
10/20/17,Walmart ,$7.03
10/20/17,H&M,$88
10/20/17,Buc-ees,$16
10/20/17,TheHomeDepot,$100
10/20/17,Cash Withdrawal,$200
10/19/17,Starbucks,$20
10/19/17,Subway,$15
10/19/17,Chick-fil-A,$42
10/18/17,Exxon,$38
10/18/17,BurlingtonStores,$102
10/18/17,Aldi,$318
10/17/17,BedBath&Beyond,$5
10/17/17,Mobil,$25
10/16/17,ChipotleMexicanGrill,$76
10/15/17,Hibachi,$46
10/15/17,GameStop,$50
10/14/17,Chevron,$38
10/13/17,Starbucks,$26
10/13/17,Nordstrom,$186
10/12/17,OfficeDepot,$57
10/12/17,Liberty Auto insurance,$116
10/12/17,Walmart ,$289
10/12/17,Salon,$30
10/12/17,Dominos Pizza,$48
10/12/17,Darden Restaurants,$23
10/12/17,McDonalds,$11.56
10/12/17,Wendys,$10.02
10/12/17,Amazon.com,$16.2
10/10/17,GameStop,$50
10/10/17,Macys,$32.18
10/09/17,Staples,$15
10/09/17,Costco,$50
10/09/17,WholeFoodsMarket,$50
10/08/17,PaneraBreadCompany,$28
10/06/17,Citgo,$35
10/06/17,Walmart ,$50
10/06/17,City Water-Sewer,$108
10/06/17,Darden Restaurants,$50
10/05/17,Chrysler Capital,$304.8
10/05/17,Electricity,$117
10/05/17,AT&TWireless,$120
10/05/17,CitiMortgage,$1900
,September,
09/30/17,Citgo,$35
09/30/17,Salon,$180
09/30/17,Yellow Cab,$78
09/30/17,American Airlines,$520
09/30/17,BigLots,$30.00
09/30/17,Costco,$20
09/30/17,GameStop,$50.00
09/30/17,Amazon.com,$67.00
09/30/17,Dollar Tree,$16.03
09/30/17,Buc-ees,$5.00
09/28/17,Party City,$20
09/27/17,McDonalds,$12.88
09/27/17,Goodwill,$800.00
09/27/17,BurgerKing,$52.00
09/27/17,Dominos Pizza,$50
09/27/17,BestBuy,$35.00
09/26/17,Barnes&Noble,$56.00
09/25/17,Wendys,$17.00
09/22/17,Dollar General,$4.05
09/22/17,Walmart ,$110.00
09/21/17,Starbucks,$3.05
09/21/17,Citgo,$36
09/21/17,McDonalds,$12
09/20/17,Walmart ,$7.03
09/20/17,H&M,$88
09/20/17,Buc-ees,$16
09/20/17,TheHomeDepot,$100
09/20/17,Cash Withdrawal,$200
09/19/17,Starbucks,$20
09/19/17,Subway,$15
09/19/17,Chick-fil-A,$42
09/18/17,Exxon,$38
09/18/17,BurlingtonStores,$102
09/18/17,Aldi,$318
09/17/17,BedBath&Beyond,$5
09/17/17,Mobil,$25
09/16/17,ChipotleMexicanGrill,$76
09/15/17,Hibachi,$46
09/15/17,GameStop,$50
09/14/17,Chevron,$38
09/13/17,Starbucks,$26
09/13/17,Nordstrom,$186
09/12/17,OfficeDepot,$57
09/12/17,Liberty Auto insurance,$116
09/12/17,Walmart ,$289
09/12/17,Salon,$30
09/12/17,Dominos Pizza,$48
09/12/17,Darden Restaurants,$23
09/12/17,McDonalds,$11.56
09/12/17,Wendys,$10.02
09/12/17,Amazon.com,$16.2
09/10/17,GameStop,$50
09/10/17,Macys,$32.18
09/09/17,Staples,$15
09/09/17,Costco,$50
09/09/17,WholeFoodsMarket,$50
09/08/17,PaneraBreadCompany,$28
09/06/17,Citgo,$35
09/06/17,Walmart ,$50
09/06/17,City Water-Sewer,$108
09/06/17,Darden Restaurants,$50
09/05/17,Chrysler Capital,$304.8
09/05/17,Electricity,$117
09/05/17,AT&TWireless,$120
09/05/17,CitiMortgage,$1900
,August,
08/31/17,Citgo,$35
08/31/17,Salon,$180
08/31/17,Yellow Cab,$78
08/31/17,American Airlines,$520
08/31/17,BigLots,$30.00
08/31/17,Costco,$20
08/31/17,GameStop,$50.00
08/31/17,Amazon.com,$67.00
08/31/17,Dollar Tree,$16.03
08/31/17,Buc-ees,$5.00
08/29/17,Party City,$20
08/28/17,McDonalds,$12.88
08/28/17,Goodwill,$800.00
08/28/17,BurgerKing,$52.00
08/28/17,Dominos Pizza,$50
08/28/17,BestBuy,$35.00
08/27/17,Barnes&Noble,$56.00
08/26/17,Wendys,$17.00
08/23/17,Dollar General,$4.05
08/23/17,Walmart ,$110.00
08/22/17,Starbucks,$3.05
08/22/17,Citgo,$36
08/22/17,McDonalds,$12
08/21/17,Walmart ,$7.03
08/21/17,H&M,$88
08/21/17,Buc-ees,$16
08/21/17,TheHomeDepot,$100
08/21/17,Cash Withdrawal,$200
08/20/17,Starbucks,$20
08/20/17,Subway,$15
08/20/17,Chick-fil-A,$42
08/19/17,Exxon,$38
08/19/17,BurlingtonStores,$102
08/19/17,Aldi,$318
08/18/17,BedBath&Beyond,$5
08/18/17,Mobil,$25
08/17/17,ChipotleMexicanGrill,$76
08/16/17,Hibachi,$46
08/16/17,GameStop,$50
08/15/17,Chevron,$38
08/14/17,Starbucks,$26
08/14/17,Nordstrom,$186
08/13/17,OfficeDepot,$57
08/13/17,Liberty Auto insurance,$116
08/13/17,Walmart ,$289
08/13/17,Salon,$30
08/13/17,Dominos Pizza,$48
08/13/17,Darden Restaurants,$23
08/13/17,McDonalds,$11.56
08/13/17,Wendys,$10.02
08/13/17,Amazon.com,$16.2
08/11/17,GameStop,$50
08/11/17,Macys,$32.18
08/10/17,Staples,$15
08/10/17,Costco,$50
08/10/17,WholeFoodsMarket,$50
08/09/17,PaneraBreadCompany,$28
08/07/17,Citgo,$35
08/07/17,Walmart ,$50
08/07/17,City Water-Sewer,$108
08/07/17,Darden Restaurants,$50
08/06/17,Chrysler Capital,$304.8
08/06/17,Electricity,$117
08/06/17,AT&TWireless,$120
08/06/17,CitiMortgage,$1900
,July,
07/31/17,Citgo,$35
07/31/17,Salon,$180
07/31/17,Yellow Cab,$78
07/31/17,American Airlines,$520
07/31/17,BigLots,$30.00
07/31/17,Costco,$20
07/31/17,GameStop,$50.00
07/31/17,Amazon.com,$67.00
07/31/17,Dollar Tree,$16.03
07/31/17,Buc-ees,$5.00
07/29/17,Party City,$20
07/28/17,McDonalds,$12.88
07/28/17,Goodwill,$800.00
07/28/17,BurgerKing,$52.00
07/28/17,Dominos Pizza,$50
07/28/17,BestBuy,$35.00
07/27/17,Barnes&Noble,$56.00
07/26/17,Wendys,$17.00
07/23/17,Dollar General,$4.05
07/23/17,Walmart ,$110.00
07/22/17,Starbucks,$3.05
07/22/17,Citgo,$36
07/22/17,McDonalds,$12
07/21/17,Walmart ,$7.03
07/21/17,H&M,$88
07/21/17,Buc-ees,$16
07/21/17,TheHomeDepot,$100
07/21/17,Cash Withdrawal,$200
07/20/17,Starbucks,$20
07/20/17,Subway,$15
07/20/17,Chick-fil-A,$42
07/19/17,Exxon,$38
07/19/17,BurlingtonStores,$102
07/19/17,Aldi,$318
07/18/17,BedBath&Beyond,$5
07/18/17,Mobil,$25
07/17/17,ChipotleMexicanGrill,$76
07/16/17,Hibachi,$46
07/16/17,GameStop,$50
07/15/17,Chevron,$38
07/14/17,Starbucks,$26
07/14/17,Nordstrom,$186
07/13/17,OfficeDepot,$57
07/13/17,Liberty Auto insurance,$116
07/13/17,Walmart ,$289
07/13/17,Salon,$30
07/13/17,Dominos Pizza,$48
07/13/17,Darden Restaurants,$23
07/13/17,McDonalds,$11.56
07/13/17,Wendys,$10.02
07/13/17,Amazon.com,$16.2
07/11/17,GameStop,$50
07/11/17,Macys,$32.18
07/10/17,Staples,$15
07/10/17,Costco,$50
07/10/17,WholeFoodsMarket,$50
07/09/17,PaneraBreadCompany,$28
07/07/17,Citgo,$35
07/07/17,Walmart ,$50
07/07/17,City Water-Sewer,$108
07/07/17,Darden Restaurants,$50
07/06/17,Chrysler Capital,$304.8
07/06/17,Electricity,$117
07/06/17,AT&TWireless,$120
07/06/17,CitiMortgage,$1900
,June,
06/30/17,Citgo,$35
06/30/17,Salon,$180
06/30/17,Yellow Cab,$78
06/30/17,American Airlines,$520
06/30/17,BigLots,$30.00
06/30/17,Costco,$20
06/30/17,GameStop,$50.00
06/30/17,Amazon.com,$67.00
06/30/17,Dollar Tree,$16.03
06/30/17,Buc-ees,$5.00
06/28/17,Party City,$20
06/27/17,McDonalds,$12.88
06/27/17,Goodwill,$800.00
06/27/17,BurgerKing,$52.00
06/27/17,Dominos Pizza,$50
06/27/17,BestBuy,$35.00
06/26/17,Barnes&Noble,$56.00
06/25/17,Wendys,$17.00
06/22/17,Dollar General,$4.05
06/22/17,Walmart ,$110.00
06/21/17,Starbucks,$3.05
06/21/17,Citgo,$36
06/21/17,McDonalds,$12
06/20/17,Walmart ,$7.03
06/20/17,H&M,$88
06/20/17,Buc-ees,$16
06/20/17,TheHomeDepot,$100
06/20/17,Cash Withdrawal,$200
06/19/17,Starbucks,$20
06/19/17,Subway,$15
06/19/17,Chick-fil-A,$42
06/18/17,Exxon,$38
06/18/17,BurlingtonStores,$102
06/18/17,Aldi,$318
06/17/17,BedBath&Beyond,$5
06/17/17,Mobil,$25
06/16/17,ChipotleMexicanGrill,$76
06/15/17,Hibachi,$46
06/15/17,GameStop,$50
06/14/17,Chevron,$38
06/13/17,Starbucks,$26
06/13/17,Nordstrom,$186
06/12/17,OfficeDepot,$57
06/12/17,Liberty Auto insurance,$116
06/12/17,Walmart ,$289
06/12/17,Salon,$30
06/12/17,Dominos Pizza,$48
06/12/17,Darden Restaurants,$23
06/12/17,McDonalds,$11.56
06/12/17,Wendys,$10.02
06/12/17,Amazon.com,$16.2
06/10/17,GameStop,$50
06/10/17,Macys,$32.18
06/09/17,Staples,$15
06/09/17,Costco,$50
06/09/17,WholeFoodsMarket,$50
06/08/17,PaneraBreadCompany,$28
06/06/17,Citgo,$35
06/06/17,Walmart ,$50
06/06/17,City Water-Sewer,$108
06/06/17,Darden Restaurants,$50
06/05/17,Chrysler Capital,$304.8
06/05/17,Electricity,$117
06/05/17,AT&TWireless,$120
06/05/17,CitiMortgage,$1900

